15000,1,68394316 -> 11.59,68394316 -> 11.55,68394316 -> 11.92
30000,1,273571774 -> 49.35,273571774 -> 49.04,273571774 -> 48.99
100000,1,3039650754 -> 596.52,3039650754 -> 598.03,3039650754 -> 597.81

input,cores,run1,run2,run3
15000,1,68394316 -> 10.69s,68394316 -> 10.68s,68394316 -> 10.74s
15000,2,68394316 -> 8.42s,68394316 -> 8.41s,68394316 -> 8.41s
15000,4,68394316 -> 5.18s,68394316 -> 5.18s,68394316 -> 5.19s
15000,8,68394316 -> 3.17s,68394316 -> 3.09s,68394316 -> 3.16s
15000,12,68394316 -> 1.79s,68394316 -> 1.80s,68394316 -> 1.82s
15000,16,68394316 -> 1.43s,68394316 -> 1.40s,68394316 -> 1.41s
15000,20,68394316 -> 1.17s,68394316 -> 1.13s,68394316 -> 1.17s
15000,24,68394316 -> 0.99s,68394316 -> 0.99s,68394316 -> 0.99s
15000,28,68394316 -> 0.87s,68394316 -> 0.89s,68394316 -> 0.85s
15000,32,68394316 -> 0.76s,68394316 -> 0.77s,68394316 -> 0.76s
15000,36,68394316 -> 0.74s,68394316 -> 0.76s,68394316 -> 0.70s
15000,40,68394316 -> 0.69s,68394316 -> 0.67s,68394316 -> 0.74s
15000,44,68394316 -> 0.62s,68394316 -> 0.60s,68394316 -> 0.63s
15000,48,68394316 -> 0.58s,68394316 -> 0.58s,68394316 -> 0.59s
15000,52,68394316 -> 0.52s,68394316 -> 0.54s,68394316 -> 0.53s
15000,56,68394316 -> 0.51s,68394316 -> 0.49s,68394316 -> 0.51s
15000,60,68394316 -> 0.47s,68394316 -> 0.49s,68394316 -> 0.47s
15000,64,68394316 -> 0.44s,68394316 -> 0.47s,68394316 -> 0.44s

input,cores,run1,run2,run3
30000,1,273571774 -> 45.53s,273571774 -> 45.47s,273571774 -> 45.54s
30000,2,273571774 -> 35.73s,273571774 -> 35.77s,273571774 -> 35.78s
30000,4,273571774 -> 22.00s,273571774 -> 21.98s,273571774 -> 22.00s
30000,8,273571774 -> 13.11s,273571774 -> 13.12s,273571774 -> 13.27s
30000,12,273571774 -> 7.68s,273571774 -> 7.70s,273571774 -> 7.69s
30000,16,273571774 -> 5.91s,273571774 -> 5.87s,273571774 -> 5.86s
30000,20,273571774 -> 4.89s,273571774 -> 4.90s,273571774 -> 4.92s
30000,24,273571774 -> 4.26s,273571774 -> 4.29s,273571774 -> 4.26s
30000,28,273571774 -> 3.60s,273571774 -> 3.58s,273571774 -> 3.58s
30000,32,273571774 -> 3.16s,273571774 -> 3.18s,273571774 -> 3.17s
30000,36,273571774 -> 3.21s,273571774 -> 3.17s,273571774 -> 3.24s
30000,40,273571774 -> 2.95s,273571774 -> 2.93s,273571774 -> 2.88s
30000,44,273571774 -> 2.58s,273571774 -> 2.57s,273571774 -> 2.67s
30000,48,273571774 -> 2.44s,273571774 -> 2.37s,273571774 -> 2.43s
30000,52,273571774 -> 2.13s,273571774 -> 2.18s,273571774 -> 2.21s
30000,56,273571774 -> 2.05s,273571774 -> 2.06s,273571774 -> 2.03s
30000,60,273571774 -> 1.92s,273571774 -> 1.90s,273571774 -> 1.90s
30000,64,273571774 -> 1.78s,273571774 -> 1.78s,273571774 -> 1.80s

input,cores,run1,run2,run3
15000,1,68394316 -> 10.68s,68394316 -> 10.71s,68394316 -> 10.68s
15000,2,68394316 -> 8.39s,68394316 -> 8.41s,68394316 -> 8.40s
15000,4,68394316 -> 5.19s,68394316 -> 5.20s,68394316 -> 5.23s
15000,8,68394316 -> 3.14s,68394316 -> 3.10s,68394316 -> 3.13s
15000,12,68394316 -> 1.85s,68394316 -> 1.80s,68394316 -> 1.97s
15000,16,68394316 -> 1.44s,68394316 -> 1.40s,68394316 -> 1.42s
15000,20,68394316 -> 1.20s,68394316 -> 1.17s,68394316 -> 1.17s
15000,24,68394316 -> 1.04s,68394316 -> 0.99s,68394316 -> 1.01s
15000,28,68394316 -> 0.85s,68394316 -> 0.85s,68394316 -> 0.88s
15000,32,68394316 -> 0.75s,68394316 -> 0.74s,68394316 -> 0.73s
15000,36,68394316 -> 0.69s,68394316 -> 0.78s,68394316 -> 0.75s
15000,40,68394316 -> 0.71s,68394316 -> 0.70s,68394316 -> 0.69s
15000,44,68394316 -> 0.65s,68394316 -> 0.64s,68394316 -> 0.61s
15000,48,68394316 -> 0.59s,68394316 -> 0.58s,68394316 -> 0.59s
15000,52,68394316 -> 0.55s,68394316 -> 0.54s,68394316 -> 0.53s
15000,56,68394316 -> 0.48s,68394316 -> 0.48s,68394316 -> 0.48s
15000,60,68394316 -> 0.49s,68394316 -> 0.47s,68394316 -> 0.48s
15000,64,68394316 -> 0.45s,68394316 -> 0.44s,68394316 -> 0.43s

30000,1,273571774 -> 45.56s,273571774 -> 45.50s,273571774 -> 45.49s
30000,2,273571774 -> 35.76s,273571774 -> 35.83s,273571774 -> 35.72s
30000,4,273571774 -> 22.03s,273571774 -> 22.17s,273571774 -> 22.01s
30000,8,273571774 -> 13.27s,273571774 -> 13.09s,273571774 -> 13.11s
30000,12,273571774 -> 7.75s,273571774 -> 7.77s,273571774 -> 7.79s
30000,16,273571774 -> 5.94s,273571774 -> 6.01s,273571774 -> 6.11s
30000,20,273571774 -> 4.95s,273571774 -> 4.98s,273571774 -> 4.83s
30000,24,273571774 -> 4.25s,273571774 -> 4.23s,273571774 -> 4.15s
30000,28,273571774 -> 3.61s,273571774 -> 3.60s,273571774 -> 3.61s
30000,32,273571774 -> 3.12s,273571774 -> 3.15s,273571774 -> 3.17s
30000,36,273571774 -> 3.20s,273571774 -> 3.14s,273571774 -> 3.23s
30000,40,273571774 -> 2.90s,273571774 -> 2.85s,273571774 -> 2.95s
30000,44,273571774 -> 2.62s,273571774 -> 2.54s,273571774 -> 2.60s
30000,48,273571774 -> 2.41s,273571774 -> 2.40s,273571774 -> 2.40s
30000,52,273571774 -> 2.20s,273571774 -> 2.14s,273571774 -> 2.22s
30000,56,273571774 -> 2.06s,273571774 -> 2.04s,273571774 -> 2.04s
30000,60,273571774 -> 1.93s,273571774 -> 1.94s,273571774 -> 1.92s
30000,64,273571774 -> 1.77s,273571774 -> 1.81s,273571774 -> 1.83s

100000,1,3039650754 -> 565.06s,3039650754 -> 564.91s,3039650754 -> 566.51s
100000,2,3039650754 -> 513.56s,3039650754 -> 509.11s,3039650754 -> 510.32s
100000,4,3039650754 -> 697.34s,3039650754 -> 693.71s,3039650754 -> 696.45s
100000,8,3039650754 -> 1281.84s,3039650754 -> 1285.34s,3039650754 -> 1279.67s,
100000,12,3039650754 -> 678.42s,3039650754 -> 681.93s,3039650754 -> 680.02s
100000,16,3039650754 -> 664.64s,3039650754 -> 660.38s,3039650754 -> 661.86s
100000,20,3039650754 -> 60.27s,3039650754 -> 57.69s,3039650754 -> 60.07s
100000,24,3039650754 -> 51.06s,3039650754 -> 50.73s,3039650754 -> 51.43s
100000,28,3039650754 -> 44.39s,3039650754 -> 43.75s,3039650754 -> 43.68s
100000,32,3039650754 -> 38.63s,3039650754 -> 39.31s,3039650754 -> 38.76s
100000,36,3039650754 -> 37.94s,3039650754 -> 37.41s,3039650754 -> 38.22s
100000,40,3039650754 -> 34.11s,3039650754 -> 35.18s,3039650754 -> 35.26s
100000,44,3039650754 -> 31.44s,3039650754 -> 31.15s,3039650754 -> 31.25s
100000,48,3039650754 -> 29.19s,3039650754 -> 28.84s,3039650754 -> 29.36s
100000,52,3039650754 -> 26.22s,3039650754 -> 27.07s,3039650754 -> 25.93s
100000,56,3039650754 -> 24.61s,3039650754 -> 25.47s,3039650754 -> 24.47s
100000,60,3039650754 -> 23.04s,3039650754 -> 23.22s,3039650754 -> 23.01s
100000,64,3039650754 -> 21.87s,3039650754 -> 21.76s,3039650754 -> 21.75s



